Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2009b)	boulder	Seon2009b-77	Seon2009b-O	MUST-75	38.286	75.011	4293	5	2.65	1	820000	32000	KNSTD	0	0	0	2007	10500	400	-	-	12025	792	471	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-78	Seon2009b-P	MUST-76	38.292	75.025	4477	5	2.65	0.99	399000	9000	KNSTD	0	0	0	2007	4700	100	-	-	5428	312	123	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-79	Seon2009b-P	MUST-77	38.292	75.025	4473	5	2.65	0.99	337000	10000	KNSTD	0	0	0	2007	4000	100	-	-	4729	287	140	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-80	Seon2009b-P	MUST-78	38.293	75.024	4461	5	2.65	0.99	353000	10000	KNSTD	0	0	0	2007	4200	100	-	-	4960	297	141	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-81	Seon2009b-P	MUST-79	38.293	75.025	4473	5	2.65	0.99	336000	10000	KNSTD	0	0	0	2007	4000	100	-	-	4715	286	140	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-82	Seon2009b-Q	MUST-80	38.340	75.022	4181	5	2.65	1	2963000	79000	KNSTD	0	0	0	2007	40300	1100	-	-	38476	2297	1036	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-83	Seon2009b-Q	MUST-81	38.342	75.021	4181	5	2.65	1	1954000	46000	KNSTD	0	0	0	2007	26500	600	-	-	26793	1558	635	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-84	Seon2009b-Q	MUST-82	38.340	75.021	4168	5	2.65	1	5717000	69000	KNSTD	0	0	0	2007	78900	1000	-	-	73560	4056	904	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-85	Seon2009b-Q	MUST-83	38.342	75.015	4123	5	2.65	1	1572000	47000	KNSTD	0	0	0	2007	21900	700	-	-	22825	1392	686	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-86	Seon2009b-Q	MUST-84	38.342	75.014	4113	5	2.65	1	4290000	75000	KNSTD	0	0	0	2007	60700	1100	-	-	57192	3225	1014	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-87	Seon2009b-Q	MUST-90	38.340	75.017	4126	5	2.65	1	7927000	117000	KNSTD	0	0	0	2007	112700	1700	-	-	104525	5879	1584	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-88	Seon2009b-Q	MUST-91	38.343	75.013	4117	5	2.65	1	1784000	44000	KNSTD	0	0	0	2007	25000	600	-	-	25541	1497	634	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-89	Seon2009b-Q	MUST-92	38.342	75.014	4117	5	2.65	1	4629000	158000	KNSTD	0	0	0	2007	65400	2300	-	-	61496	3924	2132	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-90	Seon2009b-R	KONG_1	38.640	74.990	3480	5	2.65	1	758000	19000	KNSTD	0	0	0	2007	14800	400	-	-	16765	983	422	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-91	Seon2009b-R	KONG_2	38.641	74.994	3502	5	2.65	1	1328000	31000	KNSTD	0	0	0	2007	25700	600	-	-	26806	1557	630	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-92	Seon2009b-R	KONG_3	38.642	74.994	3527	5	2.65	1	916000	23000	KNSTD	0	0	0	2007	17400	400	-	-	19275	1132	486	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-93	Seon2009b-R	KONG_4	38.642	74.994	3527	5	2.65	1	1528000	37000	KNSTD	0	0	0	2007	29200	700	-	-	29918	1750	730	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-94	Seon2009b-S	KONG_5	38.642	74.995	3539	5	2.65	1	588000	16000	KNSTD	0	0	0	2007	11100	300	-	-	12936	770	353	-	-	-	-
