Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Stroeven et al. (in press)	bedrock	StroeInpress-96	StroeInpress-AN	Lof-A1	69.2769	16.0039	350	2	2.65	0.999	113447	5287	NIST_Certified	0	0	0	2000	18913	1008	-	-	19056	1210	892	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-97	StroeInpress-AO	Lof-A3	69.2553	16.0764	40	2	2.65	0.9986	98390	6097	KNSTD	0	0	0	2000	19080	1283	-	-	19272	1457	1200	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-98	StroeInpress-AP	Lof-A4	69.2625	16.0667	40	2	2.65	0.9986	106157	5657	NIST_Certified	0	0	0	2000	23783	1412	-	-	24023	1651	1288	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-99	StroeInpress-AQ	CH-01-00	67.03486	20.05736	667	5	2.65	1	202390	10344	NIST_30200	1262421	120007	KNSTD	2000	23268	1335	23389	2328	23430	1570	1205	22285	2435	2142	-
Stroeven et al. (in press)	boulder	StroeInpress-100	Stroe2002a-A	CH-02-00	67.67228	23.12806	320	7	2.65	1	268273	10172	NIST_30200	1838169	81158	KNSTD	2000	43387	2000	48065	2505	43839	2532	1681	45949	3185	2075	-
Stroeven et al. (in press)	bedrock	StroeInpress-101	Stroe2002a-A	CH-03-00	67.67228	23.12806	320	5	2.65	1	127840	5588	NIST_30200	1228742	103331	KNSTD	2000	20182	1025	31334	2795	20371	1251	895	29933	2994	2555	-
Stroeven et al. (in press)	boulder	StroeInpress-102	Stroe2002a-A	CH-05-00	67.68056	23.16308	316	4	2.65	0.9998	258494	12106	NIST_30200	707570	61321	KNSTD	2000	40945	2202	17812	1622	41311	2646	1955	17011	1729	1487	-
Stroeven et al. (in press)	bedrock	StroeInpress-103	Stroe2002a-A	CH-06-00	67.69867	23.01967	418	5	2.65	1	333924	12721	NIST_30200	1770135	195728	KNSTD	2000	48561	2248	41460	4800	48982	2838	1889	39566	4920	4461	-
Stroeven et al. (in press)	bedrock	StroeInpress-104	StroeInpress-AR	CH-04-00	67.55831	23.05458	425	5	2.65	1	532581	16028	NIST_30200	2814239	244443	KNSTD	2000	77609	3112	66389	6207	78283	4171	2403	63319	6594	5675	-
Stroeven et al. (in press)	boulder	StroeInpress-105	StroeInpress-AS	K-04-03	66.8595	40.1738	254	3	2.65	1	1895609	61305	NIST_30000	0	0	0	2004	345081	15468	-	-	348430	20391	12309	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-106	StroeInpress-AS	K-04-04	66.8595	40.1738	254	3	2.65	1	1553521	50680	NIST_30000	0	0	0	2004	278225	12326	-	-	280879	16207	9837	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-107	StroeInpress-AS	K-04-05	66.8595	40.1738	254	3	2.65	1	2436879	72373	NIST_30000	0	0	0	2004	455652	19969	-	-	460203	26918	15367	-	-	-	-
