P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
HU08-03	3.736	0.231	X	27.120	1.376	X
HU08-04	3.706	0.116	X	26.768	1.358	X
HU08-06	3.759	0.118	X	28.811	1.461	X
HU08-10	3.740	0.136	X	25.539	1.296	X
HU08-11	3.827	0.120	X	26.408	1.637	X
HU08-14	3.739	0.117	X	30.027	1.522	X
HU08-15	3.406	0.288	X	25.765	1.308	X
HU08-16	3.511	0.365	X	26.620	1.351	X
05PPT-01	4.142	0.142	X	27.389	2.122	X
05PPT-02	4.029	0.168	X	25.521	4.293	X
05PPT-03	4.163	0.140	X	28.203	4.616	X
05PPT-04	4.100	0.138	X	28.471	1.781	X
05PPT-05	4.159	0.194	X	28.875	1.506	X
05PPT-08	4.096	0.148	X	30.159	2.064	X
S-03-02	4.099	0.261	X	-	-	-
S-03-03	4.303	0.234	X	-	-	-
S-03-04	4.143	0.289	X	-	-	-
S-03-05	3.639	0.304	X	-	-	-
S-03-06	3.871	0.383	X	-	-	-
S-03-07	4.175	0.196	X	-	-	-
S-03-08	4.413	0.221	X	-	-	-
S-03-09	4.102	0.323	X	-	-	-
S-03-10	3.998	0.200	X	-	-	-
S-03-11	3.365	0.260	X	26.397	1.841	-
GR0602	4.288	0.229	X	-	-	-
GR0603	4.211	0.223	X	-	-	-
GR0604	4.269	0.224	X	-	-	-
GR0605	4.300	0.439	X	-	-	-
AZA-11	3.787	0.253	X	-	-	-
AZA-13	3.949	0.280	X	-	-	-
AZA-27	4.006	0.297	X	-	-	-
AZA-28	3.997	0.410	X	-	-	-
AZA-29	4.264	0.294	X	-	-	-
AZA-31	3.962	0.195	X	-	-	-
AZA-11-01	3.799	0.189	X	-	-	-
AZA-11-02	3.787	0.189	X	-	-	-
AZA-11-04	3.787	0.188	X	-	-	-
AZA-11-05	4.130	0.236	X	-	-	-
AZA-13-04	3.339	0.599	X	-	-	-
AZA-13-05	3.832	0.199	X	-	-	-
AZA-30	5.400	0.265	-	-	-	-
AZA-32	5.107	0.335	-	-	-	-
AZA-33	12.153	0.693	-	-	-	-
06-SKY-01	4.265	0.220	X	-	-	-
06-SKY-03	4.070	0.210	X	30.769	2.716	-
06-SKY-04	4.276	0.358	X	-	-	-
06-SKY-05	4.270	0.582	X	-	-	-
06-SKY-06	4.202	0.267	X	-	-	-
06-SKY-07	4.061	0.209	X	37.727	3.940	-
06-SKY-08	3.879	0.305	X	-	-	-
06-HKY-01	4.134	0.213	X	30.610	2.067	X
06-HKY-03A	4.620	0.238	X	29.474	1.959	X
06-HKY-04	4.138	0.213	X	30.104	2.091	X
02-SCOT-001-ARR	4.091	0.211	X	28.424	2.018	X
02-SCOT-002-ARR	4.088	0.211	X	32.442	2.158	X
