P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Huancané-II	HU08-11	-13.94715	-70.88680	4860	6	2.29	0.999	5	518336	15032	07KNSTD	3310000	200000	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-14	-13.94887	-70.88559	4871	5	2.29	0.996	5	510437	14803	07KNSTD	3790000	185710	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-15	-13.94838	-70.88537	4869	6	2.29	0.995	5	461588	38467	07KNSTD	3230000	158270	KNSTD	2008	12293	150	-	-
Huancané-II	HU08-16	-13.94679	-70.88619	4867	6	2.29	0.997	5	476310	48932	07KNSTD	3340000	163660	KNSTD	2008	12293	150	-	-
Lake-Bonneville	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	252064	7496	07KNSTD	1627030	121913	KNSTD	2005	18366	306	-	-
Lake-Bonneville	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	249259	9440	07KNSTD	1542037	255363	KNSTD	2005	18366	306	-	-
Lake-Bonneville	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	247620	7181	07KNSTD	1636963	263951	KNSTD	2005	18366	306	-	-
Lake-Bonneville	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	250644	7269	07KNSTD	1698098	101451	KNSTD	2005	18366	306	-	-
Lake-Bonneville	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	254397	10996	07KNSTD	1723264	84440	KNSTD	2005	18366	306	-	-
Lake-Bonneville	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	252921	8041	07KNSTD	1815798	119489	KNSTD	2005	18366	306	-	-
Billingen	S-03-02	58.51890	13.72940	115	2	2.65	1	0	59741	3444	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-03	58.51890	13.72940	119	4	2.65	1	0	61935	2940	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-04	58.53402	13.75966	95	2	2.65	1	0	57339	3679	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-05	58.53402	13.75966	95	2	2.65	1	0	50448	3961	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-06	58.53320	13.76458	100	2	2.65	1	0	53962	5086	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-07	58.50032	13.63830	106	5	2.65	0.9954	0	57758	2240	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-08	58.50032	13.63830	105	5	2.65	0.9954	0	60860	2596	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-09	58.49664	13.63800	120	5	2.65	1	0	59133	4350	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-10	58.50514	13.59663	110	5	2.65	1	0	56553	2407	KNSTD	-	-	-	2003	11673	300	PD2015	1.086
Billingen	S-03-11	58.51637	13.61215	105	10	2.65	1	0	43495	3124	NIST_30000	317327	20214	KNSTD	2003	11673	300	PD2015	1.086
Glen-Roy	GR0602	56.990	-4.686	325	3	2.7	0.9811	0	77978	3610	NIST_30600	-	-	-	2006	11982	313	-	-
Glen-Roy	GR0603	56.990	-4.686	325	3	2.7	0.9269	0	72368	3305	NIST_30600	-	-	-	2006	11982	313	-	-
Glen-Roy	GR0604	56.991	-4.685	325	3	2.7	0.9543	0	75509	3402	NIST_30600	-	-	-	2006	11982	313	-	-
Glen-Roy	GR0605	56.995	-4.695	325	5	2.7	0.6841	0	53588	5237	NIST_30600	-	-	-	2006	11982	313	-	-
Azanaques	AZA-11	-18.92045	-66.74732	3930	1.5	2.7	0.998	0	505000	27000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-13	-18.90822	-66.75647	3808	1	2.7	0.999	0	495813	28991	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-27	-18.91465	-66.74508	3930	2.5	2.7	0.998	0	530000	33000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-28	-18.91512	-66.74990	3909	2	2.7	0.999	0	525462	49497	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-29	-18.91557	-66.75127	3909	4	2.7	0.999	0	552000	31000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-31	-18.91223	-66.74630	3908	1	2.7	0.998	0	524000	15196	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-11-01	-18.91252	-66.75071	3903	2	2.7	0.999	0	498000	15000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-11-02	-18.91309	-66.75075	3909	2	2.7	0.999	0	498000	15000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-11-04	-18.91500	-66.75015	3935	3	2.7	0.999	0	501000	15000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-11-05	-18.91552	-66.75131	3899	3	2.7	0.999	0	536000	22000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-13-04	-18.90891	-66.75649	3804	2.5	2.7	0.999	0	414000	72000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-13-05	-18.90844	-66.75645	3802	2	2.7	0.999	0	476000	16000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-30	-18.91248	-66.74950	3895	2.5	2.7	0.999	0	701000	20329	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-32	-18.91418	-66.74557	3909	2	2.7	0.998	0	670000	35000	NIST_27900	-	-	-	2010	16130	640	-	-
Azanaques	AZA-33	-18.92003	-66.74595	3987	2	2.7	0.998	0	1657000	68000	NIST_27900	-	-	-	2010	16130	640	-	-
Coire-Fearchair	06-SKY-01	57.24081	-5.97272	442	7	2.52	0.924	0	71155	2063	07KNSTD	-	-	-	2006	11756	500	-	-
Coire-Fearchair	06-SKY-03	57.24091	-5.96811	323	8	2.52	0.958	0	62577	1815	07KNSTD	471000	36000	KNSTD	2006	11756	500	-	-
Coire-Fearchair	06-SKY-04	57.24223	-5.96876	339	7.5	2.46	0.976	0	68316	4879	07KNSTD	-	-	-	2006	11756	500	-	-
Coire-Fearchair	06-SKY-05	57.24240	-5.96630	322	3.5	2.44	0.987	0	70100	9000	07KNSTD	-	-	-	2006	11756	500	-	-
Coire-Fearchair	06-SKY-06	57.24249	-5.96588	310	7.5	2.49	0.990	0	66254	3111	07KNSTD	-	-	-	2006	11756	500	-	-
Coire-Fearchair	06-SKY-07	57.24269	-5.96485	300	6	2.56	0.992	0	64260	1864	07KNSTD	593000	56000	KNSTD	2006	11756	500	-	-
Coire-Fearchair	06-SKY-08	57.24250	-5.96530	314	2	2.41	0.988	0	64100	4200	07KNSTD	-	-	-	2006	11756	500	-	-
Corrie-nan-Arr	06-HKY-01	57.41525	-5.64641	133	2.5	2.52	0.988	0	57400	1665	07KNSTD	424000	22000	KNSTD	2006	11756	500	-	-
Corrie-nan-Arr	06-HKY-03A	57.41550	-5.64662	131	5.85	2.47	0.985	0	62100	1801	07KNSTD	396000	20000	KNSTD	2006	11756	500	-	-
Corrie-nan-Arr	06-HKY-04	57.42309	-5.65812	137	10	2.59	0.972	0	53300	1546	07KNSTD	387000	21000	KNSTD	2006	11756	500	-	-
